Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Liberty,0.238,0.478,0.609,53,58.6,7.1,6.7,0.585,13.6,23.8,0.185
Lipscomb,0.337,0.381,0.555,49.6,53,9,5.8,0.527,15.8,23.6,0.233
Cal State Long Beach,0.377,0.338,0.538,46.9,45.1,8.2,7.2,0.506,18.9,23.1,0.257
Long Island University,0.312,0.404,0.502,51.1,61.2,11.3,9.7,0.473,16.3,32.9,0.208
Longwood,0.315,0.379,0.528,50.1,44.6,9.3,6.1,0.499,17.3,28.1,0.216
Louisiana,0.288,0.331,0.529,53.5,46.6,7.7,11,0.501,17.5,33.6,0.201
Louisiana-Monroe,0.251,0.39,0.51,44.9,58.3,10.9,8.1,0.482,17.1,22.7,0.176
LSU,0.347,0.371,0.567,50.3,42.7,11.1,7.6,0.531,14.2,31.4,0.26
Louisiana Tech,0.345,0.373,0.539,52.8,48,9.1,7.6,0.509,16,28.3,0.237
Louisville,0.321,0.303,0.514,53.3,44.7,7.2,5.5,0.478,14.8,32,0.23
Loyola Chicago,0.315,0.375,0.598,54.1,60.1,10.8,7,0.574,16.6,25.3,0.227
Loyola Marymount,0.413,0.349,0.557,56.3,53.3,6.9,7.7,0.517,20.4,32,0.3
Loyola (MD),0.36,0.3,0.53,52.6,48.4,9.9,9.1,0.511,17.6,30.9,0.218
Maine,0.272,0.449,0.468,46.8,62.8,8.7,13.5,0.451,22.4,23.3,0.155
Manhattan,0.355,0.373,0.466,49.5,54,11.1,10.6,0.426,17.5,31.9,0.236
Marist,0.315,0.412,0.52,50.3,48.2,8,12.4,0.491,19.1,23,0.216
Marquette,0.35,0.374,0.544,51.7,50.4,7.4,9.9,0.506,18.3,29.1,0.257
Marshall,0.242,0.41,0.571,48.7,53.2,10.6,13.2,0.548,14.6,23.8,0.175
Maryland-Baltimore County,0.366,0.371,0.539,51.8,45.3,7.4,5.1,0.503,16.7,25.8,0.26
Maryland-Eastern Shore,,,,,,,,,,,
Maryland,0.337,0.432,0.561,49.8,55.1,7.6,10.2,0.532,15.4,20.6,0.237
Massachusetts-Lowell,0.372,0.349,0.54,51.1,47.7,7.2,10.7,0.512,18.6,27,0.246
Massachusetts,0.342,0.44,0.538,48.2,56.9,9.9,9.9,0.5,14.5,24.3,0.251
McNeese State,0.286,0.361,0.583,53.6,61.7,9.8,5.4,0.563,17.8,31.4,0.197
Memphis,0.342,0.356,0.524,54.6,61.4,12.4,14.2,0.504,19.1,33.7,0.212
Mercer,0.249,0.387,0.572,52,57.6,9.7,7.9,0.551,16.1,26.2,0.179
Merrimack,0.31,0.412,0.538,45.3,49.8,11.7,10.1,0.514,18.1,20.8,0.206
Miami (FL),0.328,0.334,0.51,50.2,47.1,9.7,10.9,0.474,16.2,27.1,0.23
Miami (OH),0.254,0.395,0.542,49.6,46.5,6.6,7.4,0.508,13.9,27.9,0.197
Michigan State,0.314,0.341,0.515,52.3,64.1,6.6,12.3,0.479,16.3,30.4,0.226
Michigan,0.289,0.339,0.582,54.5,55.5,6.5,10.6,0.549,14.5,29.4,0.225
Middle Tennessee,0.257,0.399,0.48,48.2,44.8,10.2,6.1,0.451,18.9,25.8,0.176
Milwaukee,0.332,0.359,0.533,48.1,48.5,8.4,6,0.495,13.5,24.1,0.243
Minnesota,0.367,0.407,0.499,48,56.7,8.8,11.4,0.45,13.3,29.2,0.272
Mississippi State,0.329,0.272,0.521,55,50.2,9.2,13.5,0.496,18.4,36.4,0.212
Mississippi Valley State,0.246,0.483,0.453,40.8,55,6.2,7,0.436,22.2,18,0.141
Mississippi,0.344,0.307,0.523,53.4,48.8,11.3,11.8,0.488,17.2,34.8,0.241
Missouri-Kansas City,0.293,0.315,0.572,50.3,55.3,11.9,7.1,0.555,16.9,24.3,0.193
Missouri State,0.312,0.387,0.576,53.6,51,6.8,7.5,0.546,16.6,24.8,0.231
Missouri,0.375,0.375,0.543,50.2,51.1,9.4,9,0.509,16.5,28.6,0.261
Monmouth,0.382,0.346,0.525,48.6,54.1,10.9,9.8,0.485,15.6,25.7,0.27
Montana State,0.397,0.332,0.552,50.7,43.3,7.9,6.6,0.506,15.7,26,0.3
Montana,0.366,0.281,0.557,50.2,51.1,7.1,7,0.511,17.3,24.3,0.286
Morehead State,0.359,0.351,0.551,54.8,51.8,6.5,14.7,0.522,19.7,31.7,0.245
Morgan State,0.359,0.382,0.54,52.4,54.2,10.4,11,0.499,17.5,34.8,0.266
Mount St. Mary,0.297,0.363,0.515,53.9,50.6,6.8,10.9,0.487,17.5,31.6,0.201
Murray State,0.254,0.378,0.582,53,57.5,9.7,10.4,0.567,16.9,28.3,0.171
Navy,0.33,0.326,0.534,52.6,47.6,12,7.4,0.5,15.6,32.3,0.234
Omaha,0.292,0.266,0.495,47.5,37.8,7.8,7.8,0.463,16.1,23,0.201
Nebraska,0.311,0.426,0.513,47.7,55,9.8,9.6,0.489,17.1,23.5,0.199
Nevada-Las Vegas,0.212,0.403,0.537,52.7,50.4,9.5,9.1,0.516,16.2,29.8,0.15
Nevada,0.388,0.392,0.56,50.8,57.9,8,9.5,0.517,16.2,24.2,0.293
New Hampshire,0.319,0.36,0.494,51.5,47.1,8,8.4,0.46,13.9,28,0.218
New Mexico State,0.312,0.478,0.536,54.2,50.6,7.5,7.2,0.501,15.5,34.1,0.228
New Mexico,0.327,0.293,0.477,52.1,51.5,8.2,12,0.453,17.9,34.3,0.196
New Orleans,0.327,0.283,0.557,49.9,55.6,10.1,6.9,0.523,19.8,29.3,0.241
Niagara,0.346,0.372,0.505,46.6,52.7,8.9,6.2,0.466,13.5,23.3,0.245
Nicholls State,0.277,0.376,0.538,50.2,45.8,12.1,8.6,0.516,15.2,28.5,0.185
NJIT,0.342,0.358,0.497,45.7,41.1,9.7,6.2,0.459,14.4,24,0.236
Norfolk State,0.384,0.36,0.539,50.6,47.7,8.8,10.6,0.502,15.8,28.9,0.271
North Alabama,0.291,0.391,0.529,52.7,43.6,8.2,9.7,0.494,16.7,29.3,0.217
North Carolina-Asheville,0.302,0.391,0.558,47.2,46.4,9.8,10.6,0.546,18.7,26.8,0.183
North Carolina A&T,0.368,0.337,0.507,46.4,53.2,11.7,7.2,0.475,16.4,27.8,0.242
North Carolina Central,0.33,0.354,0.515,46.7,50.8,10.4,7.9,0.481,18.3,25.9,0.229
UNC G,0.238,0.389,0.506,52,44.3,10.6,12.3,0.482,13.1,31.9,0.163
North Carolina State,0.321,0.322,0.556,48.7,48.5,12.2,12.2,0.527,16.3,30,0.226
North Carolina-Wilmington,0.368,0.367,0.546,47.5,46.6,8.5,8.6,0.5,13.8,27,0.282
North Carolina,0.349,0.282,0.516,57.1,55.8,10,12.8,0.485,16.8,41.2,0.233
North Dakota State,0.336,0.362,0.545,54.9,43.2,5.8,7.1,0.504,16.4,28.7,0.256
North Dakota,0.346,0.388,0.528,47.6,49.1,7.4,5.3,0.494,16.7,23.4,0.241
North Florida,0.254,0.488,0.557,46.9,51.9,6.5,7.7,0.534,19.3,26.7,0.181
North Texas,0.273,0.373,0.572,52.1,51.9,10.3,8.5,0.546,17.8,28.3,0.201
Northeastern,0.26,0.439,0.544,48,51.2,9.1,5.8,0.515,18,20.2,0.193
