Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,Pts
George Mason,26.3,61.2,42.9,7.3,22.1,32.9,11.5,17.9,64.2,11.5,26.4,37.9,13,12.9,7.2,4.2,16,71.3
Seton Hall,24.9,56.5,44.1,6.7,20.8,32.1,14.7,20.1,73.2,10.2,24.6,34.9,12.9,13,6.3,4.4,16.4,71.3
Wagner,26.7,60.3,44.2,5.9,18.4,31.8,12.1,16.9,71.8,12.4,23.3,35.7,12.9,12.3,7.4,2.6,20.3,71.3
Pittsburgh,25.2,58.3,43.2,6.5,19.3,33.9,14.3,21.5,66.4,12.7,25.7,38.4,14.5,12.5,6,3.8,17.3,71.2
Prairie View A&M,27,60.2,44.8,6.6,21.8,30.4,10.6,16.2,65.3,11.2,24,35.2,15.9,13.7,9.6,4.2,20.8,71.2
IUPUI,25.1,59.4,42.3,7.9,23.1,34.4,13,18.1,71.8,9.3,24.4,33.8,13.3,13.9,6.9,2.2,18.9,71.2
Lipscomb,25.4,55.3,46,7.4,21.1,35.1,12.9,18.6,69.2,7.7,26.3,34,13.5,12.1,6.2,2,13.9,71.2
N. Mexico St.,24.6,57.8,42.6,8.8,27.6,31.8,13.2,18.1,72.9,11.9,24.3,36.2,12.5,12.2,5,2.4,18,71.1
Purdue,25.5,56.6,45.1,7.1,21.2,33.5,13,18.2,71.1,10.9,26.7,37.6,14.3,12.6,5.2,3.4,17.5,71.1
Campbell,25.9,52.2,49.6,7.2,19.3,37.5,12,17.7,67.6,6.1,22.3,28.4,14.3,12.1,6.1,2.3,17,71
Houston Baptist,25.4,59.4,42.8,8.1,23.5,34.4,12.2,16.6,73.3,9.2,25,34.2,14.2,16.7,7,3.7,17,71
App State,24.1,58.1,41.5,8.1,25,32.4,14.7,19.9,73.7,11,25,36,12,11.8,8,3.5,13.8,70.9
Central Arkansas,25.3,57.8,43.7,7.1,19.5,36.3,13.3,18.5,71.7,10.3,26.9,37.2,13.4,17.5,5,2.7,18,70.9
Delaware St.,24.6,62.3,39.6,8,25.9,30.9,13.5,18.8,72,10.8,24.8,35.7,11.4,16.9,6.5,3.6,21.3,70.8
Montana,24.9,54.1,46,5.5,15.2,36.2,15.5,19.8,78.2,7.7,25.5,33.2,12.7,13.3,4.9,2.6,19.7,70.8
UTEP,25.3,59.7,42.5,7.1,21.8,32.6,13,17.3,74.8,8.9,25.5,34.5,11.8,10.9,6.3,2.8,17.5,70.8
Oregon State,24.6,56.4,43.5,7,19.8,35.3,14.6,19.2,75.8,10.3,23.4,33.7,14.7,11.3,6.1,3.3,18.9,70.7
Gardner-Webb,25,56.3,44.4,8.9,24.7,36.1,11.7,16.9,69,9.2,25.2,34.4,13,11.7,5.9,4.8,18.9,70.7
Charleston,25.3,56.1,45.1,8.3,22.2,37.4,11.6,16.4,71.1,8.4,24.4,32.8,10.6,10.4,5.3,2.8,17.1,70.6
Holy Cross,26.4,59.4,44.5,6.9,19.5,35.6,10.8,15.5,69.8,9.4,23.2,32.6,11.9,12.9,6.8,3.8,19.1,70.6
Northern Colorado,25,55.5,44.9,9.1,24,38,11.5,17.3,66.6,8,26.4,34.5,10.9,14,4.3,2.7,18,70.5
Canisius,24.7,60.5,40.8,7.5,25.2,29.7,13.5,19.1,71,10,24.6,34.6,12.7,12,5.6,3.5,18,70.4
